UTME,UTMN,Pre-Date,Post1-Date,Pre and Post1 Sampler,Pre-CvrBin,Post1-CvrBin,GrassType,Pre and Post1 Comment,UTME ERASE,UTMN ERASE,Post2-Date,Post2 Sampler,Post2-CvrBin,Post2 Comment
525580,4270370,6/1/2016,5/31/2017,MHalbur,3,2,Medusahead,NA,525580,4270370,5/16/2018,Anna Colarusso,1,NA
525590,4270370,6/1/2016,5/31/2017,MHalbur,0,0,Medusahead,"PHAAQU, HOLLAN",525590,4270370,5/16/2018,Anna Colarusso,1,NA
525600,4270370,6/1/2016,5/31/2017,MHalbur,3,2,Medusahead,NA,525600,4270370,5/17/2018,Mike Winter,1,NA
525610,4270370,6/1/2016,5/31/2017,MHalbur,3,0,Medusahead,NA,525610,4270370,5/17/2018,Mike Winter,1,NA
525620,4270370,6/1/2016,5/31/2017,MHalbur,5,1,Medusahead,STIPUL,525620,4270370,5/17/2018,Mike Winter,0,NA
525630,4270370,6/1/2016,5/31/2017,MHalbur,4,0,Medusahead,NA,525630,4270370,5/17/2018,Mike Winter,1,NA
525640,4270370,6/1/2016,5/31/2017,MHalbur,4,1,Medusahead,NA,525640,4270370,5/17/2018,Mike Winter,1,NA
525650,4270370,6/3/2016,5/31/2017,MHalbur,5,1,Medusahead,NA,525650,4270370,5/17/2018,Mike Winter,1,NA
525660,4270370,6/2/2016,5/31/2017,MHalbur,0,0,Medusahead,NA,525660,4270370,5/17/2018,Mike Winter,0,NA
525670,4270370,6/2/2016,5/31/2017,MHalbur,0,0,Medusahead,NA,525670,4270370,5/17/2018,Mike Winter,0,NA
525680,4270370,6/2/2016,5/31/2017,MHalbur,0,1,Medusahead,NA,525680,4270370,5/17/2018,Mike Winter,0,NA
525460,4270360,6/1/2016,5/31/2017,MHalbur,5,1,Medusahead,NA,525460,4270360,5/21/2018,Mike Winter,0,NA
525470,4270360,6/1/2016,5/31/2017,MHalbur,4,1,Medusahead,NA,525470,4270360,5/21/2018,Mike Winter,1,NA
525480,4270360,6/1/2016,5/31/2017,MHalbur,6,1,Medusahead,NA,525480,4270360,5/21/2018,Mike Winter,1,NA
525490,4270360,6/1/2016,5/31/2017,MHalbur,5,1,Medusahead,NA,525490,4270360,5/21/2018,Mike Winter,0,NA
525500,4270360,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525500,4270360,5/16/2018,Anna Colarusso,3,NA
525510,4270360,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525510,4270360,5/16/2018,Anna Colarusso,3,NA
525520,4270360,6/1/2016,5/31/2017,MHalbur,4,0,Medusahead,NA,525520,4270360,5/16/2018,Anna Colarusso,1,NA
525530,4270360,6/1/2016,5/31/2017,MHalbur,3,2,Medusahead,NA,525530,4270360,5/16/2018,Anna Colarusso,3,NA
525540,4270360,6/1/2016,5/31/2017,MHalbur,6,1,Medusahead,NA,525540,4270360,5/16/2018,Anna Colarusso,1,NA
525550,4270360,6/1/2016,5/31/2017,MHalbur,3,0,Medusahead,NA,525550,4270360,5/16/2018,Anna Colarusso,0,NA
525560,4270360,6/1/2016,5/31/2017,MHalbur,4,1,Medusahead,NA,525560,4270360,5/16/2018,Anna Colarusso,1,NA
525570,4270360,6/1/2016,5/31/2017,MHalbur,2,0,Medusahead,NA,525570,4270360,5/16/2018,Anna Colarusso,1,NA
525580,4270360,6/1/2016,5/31/2017,MHalbur,0,0,Medusahead,PHAAQU,525580,4270360,5/16/2018,Anna Colarusso,1,NA
525590,4270360,6/1/2016,5/31/2017,MHalbur,0,0,Medusahead,PHAAQU,525590,4270360,5/16/2018,Anna Colarusso,1,NA
525600,4270360,6/1/2016,5/31/2017,MHalbur,4,0,Medusahead,NA,525600,4270360,5/17/2018,Mike Winter,1,NA
525610,4270360,6/1/2016,5/31/2017,MHalbur,3,0,Medusahead,NA,525610,4270360,5/17/2018,Mike Winter,0,NA
525620,4270360,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525620,4270360,5/17/2018,Mike Winter,0,NA
525630,4270360,6/1/2016,5/31/2017,MHalbur,5,1,Medusahead,NA,525630,4270360,5/17/2018,Mike Winter,0,NA
525640,4270360,6/1/2016,5/31/2017,MHalbur,5,0,Medusahead,NA,525640,4270360,5/17/2018,Mike Winter,0,NA
525650,4270360,6/3/2016,5/31/2017,MHalbur,4,1,Medusahead,NA,525650,4270360,5/17/2018,Mike Winter,0,NA
525660,4270360,6/2/2016,5/31/2017,MHalbur,0,1,Medusahead,NA,525660,4270360,5/17/2018,Mike Winter,0,NA
525670,4270360,6/2/2016,5/31/2017,MHalbur,0,0,Medusahead,NA,525670,4270360,5/17/2018,Mike Winter,0,NA
525680,4270360,NA,NA,NA,NA,NA,NA,NA,525680,4270360,5/17/2018,Mike Winter,0,these UTMs appear to be missing from  pre and post1 data
525460,4270350,NA,NA,NA,NA,NA,NA,NA,525460,4270350,5/21/2018,Mike Winter,0,these UTMs appear to be missing from  pre and post1 data
525470,4270350,6/1/2016,5/31/2017,MHalbur,1,1,Medusahead,PHAAQU,525470,4270350,5/21/2018,Mike Winter,1,NA
525480,4270350,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525480,4270350,5/21/2018,Mike Winter,2,NA
525490,4270350,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525490,4270350,5/21/2018,Mike Winter,1,NA
525500,4270350,6/1/2016,5/31/2017,MHalbur,2,2,Medusahead,NA,525500,4270350,5/16/2018,Anna Colarusso,3,NA
525510,4270350,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525510,4270350,5/16/2018,Anna Colarusso,1,NA
525520,4270350,6/1/2016,5/31/2017,MHalbur,4,0,Medusahead,NA,525520,4270350,5/16/2018,Anna Colarusso,1,NA
525530,4270350,6/1/2016,5/31/2017,MHalbur,4,1,Medusahead,NA,525530,4270350,5/16/2018,Anna Colarusso,1,NA
525540,4270350,6/1/2016,5/31/2017,MHalbur,5,0,Medusahead,NA,525540,4270350,5/16/2018,Anna Colarusso,1,NA
525550,4270350,6/1/2016,5/31/2017,MHalbur,2,1,Medusahead,NA,525550,4270350,5/16/2018,Anna Colarusso,1,NA
525560,4270350,6/1/2016,5/31/2017,MHalbur,4,1,Medusahead,NA,525560,4270350,5/16/2018,Anna Colarusso,2,NA
525570,4270350,6/1/2016,5/31/2017,MHalbur,0,0,Medusahead,PHAAQU,525570,4270350,5/16/2018,Anna Colarusso,1,NA
525580,4270350,6/1/2016,5/31/2017,MHalbur,0,0,Medusahead,PHAAQU,525580,4270350,5/16/2018,Anna Colarusso,2,NA
525590,4270350,6/1/2016,5/31/2017,MHalbur,0,0,Medusahead,PHAAQU,525590,4270350,5/17/2018,Mike Winter,1,NA
525600,4270350,6/1/2016,5/31/2017,MHalbur,4,2,Medusahead,NA,525600,4270350,5/17/2018,Mike Winter,2,NA
525610,4270350,6/1/2016,5/31/2017,MHalbur,3,1,Medusahead,NA,525610,4270350,5/17/2018,Mike Winter,1,NA
525620,4270350,6/1/2016,5/31/2017,MHalbur,3,0,Medusahead,NA,525620,4270350,5/17/2018,Mike Winter,0,NA
525630,4270350,6/1/2016,5/31/2017,MHalbur,5,0,Medusahead,NA,525630,4270350,5/17/2018,Mike Winter,0,NA
525640,4270350,6/1/2016,5/31/2017,MHalbur,4,0,Medusahead,NA,525640,4270350,5/17/2018,Mike Winter,0,NA
525650,4270350,6/3/2016,5/31/2017,MHalbur,2,1,Medusahead,NA,525650,4270350,5/17/2018,Mike Winter,0,NA
525660,4270350,6/2/2016,5/31/2017,MHalbur,1,0,Medusahead,NA,525660,4270350,5/17/2018,Mike Winter,0,NA
525670,4270350,6/2/2016,5/31/2017,MHalbur,0,1,Medusahead,NA,525670,4270350,5/17/2018,Mike Winter,1,NA
525470,5270340,NA,NA,NA,NA,NA,NA,NA,525470,5270340,5/21/2018,Mike Winter,2,these UTMs appear to be missing from  pre and post1 data
525600,4270340,NA,NA,NA,NA,NA,NA,NA,525600,4270340,5/17/2018,Mike Winter,0,these UTMs appear to be missing from  pre and post1 data
525610,4270340,NA,NA,NA,NA,NA,NA,NA,525610,4270340,5/17/2018,Mike Winter,1,these UTMs appear to be missing from  pre and post1 data
525620,4270340,NA,NA,NA,NA,NA,NA,NA,525620,4270340,5/17/2018,Mike Winter,0,these UTMs appear to be missing from  pre and post1 data
525630,4270340,NA,NA,NA,NA,NA,NA,NA,525630,4270340,5/17/2018,Mike Winter,0,these UTMs appear to be missing from  pre and post1 data
525640,4270340,NA,NA,NA,NA,NA,NA,NA,525640,4270340,5/17/2018,Mike Winter,1,these UTMs appear to be missing from  pre and post1 data
525650,4270340,6/3/2016,5/31/2017,MHalbur,5,0,Medusahead,NA,525650,4270340,5/17/2018,Mike Winter,0,NA
525660,4270340,6/2/2016,5/31/2017,MHalbur,2,0,Medusahead,NA,525660,4270340,5/17/2018,Mike Winter,0,NA
525670,4270340,6/2/2016,5/31/2017,MHalbur,0,0,Medusahead,NA,525670,4270340,5/17/2018,Mike Winter,0,NA
525500,4270340,NA,NA,NA,NA,NA,NA,NA,525500,4270340,5/16/2018,Anna Colarusso,2,these UTMs appear to be missing from  pre and post1 data
